"site","zone","plot_id","year","density","germ","percent_mort","tot_prev","swe","htc","ti_area","stand_size","isl_density","zone_area","zone_density","recruit_decade","zone_age","zone_basal","zone_height"
"ti12","leeward",2183,2015,5,4,0,0,303.405984042397,0.333696723171227,820,23,280,254,79,0.25,73.5,0.00628,3.05
"ti12","leeward",2183,2016,1,1,1,5,NA,NA,820,23,280,254,79,0.25,73.5,0.00628,3.05
"ti12","leeward",2184,2014,2,0,NA,NA,376.103840653806,0.332408762134474,820,23,280,254,79,0.25,73.5,0.00628,3.05
"ti12","leeward",2184,2015,3,1,0,2,303.405984042397,0.333696723171227,820,23,280,254,79,0.25,73.5,0.00628,3.05
"ti12","leeward",2184,2016,3,1,0.333333333,3,NA,NA,820,23,280,254,79,0.25,73.5,0.00628,3.05
"ti12","leeward",2185,2014,1,0,NA,NA,376.103840653806,0.332408762134474,820,23,280,254,79,0.25,73.5,0.00628,3.05
"ti12","leeward",2185,2015,2,1,0,1,303.405984042397,0.333696723171227,820,23,280,254,79,0.25,73.5,0.00628,3.05
"ti12","leeward",2185,2016,1,0,1,2,NA,NA,820,23,280,254,79,0.25,73.5,0.00628,3.05
"ti12","windward",2191,2014,6,1,NA,NA,76.3853939209893,0.861179733206039,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2191,2015,9,1,0.166666667,6,139.357352700042,0.661731529143815,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2191,2016,6,1,0.444444444,9,NA,NA,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2194,2014,3,0,NA,NA,76.3853939209893,0.861179733206039,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2194,2015,3,0,0,3,139.357352700042,0.661731529143815,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2194,2016,3,0,0,3,NA,NA,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2195,2014,5,0,NA,NA,76.3853939209893,0.861179733206039,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2195,2015,5,0,0.2,5,139.357352700042,0.661731529143815,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2195,2016,4,0,0.4,5,NA,NA,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2196,2014,9,2,NA,NA,76.3853939209893,0.861179733206039,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2196,2015,9,5,0.555555556,9,139.357352700042,0.661731529143815,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2196,2016,8,0,0.111111111,9,NA,NA,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2197,2014,2,0,NA,NA,76.3853939209893,0.861179733206039,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2197,2015,2,0,0,2,139.357352700042,0.661731529143815,820,23,280,200,250,0.25,103,0.0137,2.72
"ti12","windward",2197,2016,2,0,0,2,NA,NA,820,23,280,200,250,0.25,103,0.0137,2.72
"ti13","deflation",2172,2014,2,0,NA,NA,129.504933605977,0.849581685121143,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2172,2015,2,1,0.5,2,89.3495816327104,1.99056234177636,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2172,2016,1,0,0.5,2,NA,NA,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2173,2014,1,0,NA,NA,129.504933605977,0.849581685121143,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2173,2015,1,0,0,1,89.3495816327104,1.99056234177636,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2173,2016,1,0,0,1,NA,NA,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2177,2014,0,0,NA,NA,129.504933605977,0.849581685121143,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2177,2015,0,0,0,0,89.3495816327104,1.99056234177636,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2177,2016,1,0,0,0,NA,NA,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2178,2014,1,0,NA,NA,129.504933605977,0.849581685121143,67,6,900,13,770,0.17,60,0.00332,2.3
"ti13","deflation",2178,2015,0,0,1,1,89.3495816327104,1.99056234177636,67,6,900,13,770,0.17,60,0.00332,2.3
